submission_ID,avg_temp_c
1,11.72
2,11.43
3,11.24
4,11.37
5,11.25
6,11.29
7,11.45
8,13.81
9,13.8
10,13.75
11,13.84
12,13.88
13,13.75
14,13.88
15,27.13
16,27.27
17,27.23
18,27.16
19,27.1
20,27.12
21,27.12
22,-0.92
23,-1.31
24,-1.45
25,-1.21
26,-1.04
27,-1.26
28,-1.37
29,26.05
30,25.7
31,26.02
32,26.61
33,26.53
34,26.23
35,26.13
36,19.85
37,19.65
38,19.76
39,19.87
40,20.11
41,19.87
42,19.26
43,5.25
44,5.11
45,5.1
46,5.32
47,5.3
48,5.16
49,5.19
50,18.63
51,18.55
52,18.54
53,18.46
54,18.54
55,18.53
56,18.45
57,17.0
58,16.91
59,16.79
60,16.88
61,16.9
62,16.89
63,16.88
64,2.15
65,2.12
66,1.85
67,1.85
68,1.46
69,1.34
70,1.45
71,15.62
72,15.45
73,15.79
74,15.8
75,15.73
76,15.75
77,15.38
78,6.48
79,6.33
80,6.35
81,6.35
82,6.35
83,5.99
84,6.24
85,4.05
86,3.83
87,3.99
88,3.97
89,3.95
90,3.69
91,3.69
92,24.4
93,24.44
94,24.54
95,24.63
96,24.29
97,24.68
98,24.42
99,20.03
100,20.0
101,20.01
102,20.04
103,20.07
104,19.97
105,20.03
106,26.36
107,26.39
108,26.4
109,26.35
110,26.33
111,26.31
112,26.3
113,4.3
114,4.21
115,3.86
116,4.73
117,4.12
118,3.86
119,4.15
120,25.36
121,25.35
122,25.23
123,25.47
124,25.5
125,25.18
126,25.15
127,-4.23
128,-3.98
129,-3.78
130,-3.77
131,-4.01
132,-4.04
133,-3.83
134,26.78
135,26.63
136,26.48
137,26.89
138,26.78
139,26.89
140,26.69
141,12.16
142,11.82
143,11.72
144,12.17
145,11.89
146,12.0
147,11.94
148,13.93
149,14.25
150,14.04
151,13.72
152,14.03
153,13.49
154,13.41
155,-8.95
156,-8.98
157,-8.88
158,-8.77
159,-8.41
160,-8.4
161,-9.22
162,25.85
163,25.82
164,25.94
165,25.74
166,25.77
167,25.84
168,25.85
169,25.25
170,25.29
171,25.13
172,25.19
173,25.06
174,25.05
175,25.09
176,27.63
177,27.72
178,27.63
179,27.64
180,27.6
181,27.65
182,27.55
183,3.69
184,3.68
185,3.63
186,3.82
187,3.53
188,3.11
189,3.64
190,4.46
191,4.33
192,4.08
193,3.94
194,3.74
195,4.12
196,3.92
197,15.12
198,14.92
199,15.0
200,15.05
201,15.08
202,15.09
203,14.72
204,27.96
205,27.94
206,27.84
207,27.85
208,27.93
209,27.89
210,27.89
211,-1.59
212,-1.39
213,-1.63
214,-1.48
215,-1.55
216,-1.42
217,-1.38
218,14.74
219,15.03
220,15.16
221,14.64
222,14.49
223,13.92
224,14.09
225,28.07
226,28.17
227,28.26
228,28.32
229,28.17
230,28.27
231,28.14
232,13.3
233,13.06
234,12.86
235,12.97
236,12.84
237,12.93
238,12.94
239,28.02
240,27.99
241,27.99
242,28.0
243,27.95
244,27.88
245,27.95
246,20.54
247,20.51
248,20.52
249,20.55
250,20.5
251,20.53
252,20.38
253,5.11
254,5.51
255,5.43
256,4.97
257,5.29
258,5.49
259,5.14
260,13.78
261,13.74
262,13.83
263,13.81
264,13.77
265,13.78
266,13.78
267,27.63
268,27.67
269,27.56
270,27.59
271,27.58
272,27.53
273,27.49
274,5.44
275,5.34
276,5.25
277,5.3
278,4.88
279,5.26
280,5.68
281,7.46
282,7.39
283,7.57
284,7.55
285,7.71
286,7.97
287,7.5
288,13.77
289,13.51
290,13.36
291,13.25
292,13.37
293,13.45
294,13.24
295,5.96
296,6.04
297,6.02
298,6.05
299,6.04
300,6.03
301,6.07
302,28.41
303,28.38
304,28.39
305,28.29
306,28.38
307,28.28
308,28.42
309,3.02
310,2.76
311,2.4
312,2.15
313,2.15
314,2.5
315,2.5
316,2.78
317,2.84
318,2.87
319,2.51
320,2.55
321,2.37
322,2.06
323,13.59
324,13.31
325,13.34
326,13.39
327,13.3
328,13.22
329,13.13
330,2.01
331,2.31
332,2.06
333,2.25
334,2.01
335,2.38
336,2.3
337,22.54
338,22.46
339,22.39
340,22.43
341,22.47
342,22.54
343,22.53
344,26.18
345,26.12
346,26.09
347,26.13
348,26.21
349,26.12
350,26.1
351,14.65
352,14.75
353,14.65
354,14.56
355,14.51
356,14.57
357,14.5
358,21.72
359,21.8
360,21.63
361,21.69
362,21.62
363,21.6
364,21.66
365,12.62
366,12.57
367,12.41
368,12.48
369,12.53
370,12.49
371,12.35
372,11.2
373,11.04
374,11.19
375,10.87
376,10.93
377,10.73
378,10.29
379,12.68
380,12.67
381,12.72
382,12.75
383,12.89
384,12.98
385,12.94
386,22.67
387,22.67
388,22.73
389,22.72
390,22.63
391,22.66
392,22.74
393,22.23
