submission_ID,avg_temp_c
1,8.13
2,7.79
3,7.43
4,7.08
5,6.89
6,7.0
7,7.07
8,14.62
9,14.52
10,14.34
11,14.17
12,14.08
13,13.94
14,13.84
15,26.77
16,26.82
17,26.77
18,26.75
19,26.82
20,26.8
21,26.75
22,-1.34
23,-1.42
24,-1.32
25,-1.18
26,-1.3
27,-1.41
28,-1.22
29,24.63
30,24.67
31,24.57
32,24.86
33,24.74
34,24.64
35,24.82
36,19.96
37,20.16
38,20.51
39,20.71
40,20.99
41,21.0
42,20.59
43,3.46
44,3.55
45,3.38
46,3.31
47,3.46
48,3.21
49,2.85
50,19.7
51,19.62
52,19.53
53,19.46
54,19.64
55,19.58
56,19.35
57,19.23
58,19.33
59,19.33
60,19.28
61,19.37
62,19.43
63,19.42
64,-2.36
65,-2.59
66,-2.93
67,-3.04
68,-3.13
69,-3.3
70,-3.64
71,6.86
72,6.73
73,6.82
74,6.74
75,6.46
76,6.12
77,5.93
78,2.52
79,2.07
80,1.38
81,1.23
82,1.25
83,1.36
84,0.9
85,2.32
86,2.0
87,1.55
88,1.18
89,0.9
90,0.97
91,0.89
92,24.24
93,24.19
94,24.18
95,24.2
96,24.25
97,24.13
98,24.1
99,20.76
100,20.66
101,20.68
102,20.52
103,20.54
104,20.55
105,20.5
106,27.57
107,27.58
108,27.59
109,27.6
110,27.65
111,27.65
112,27.6
113,-5.95
114,-6.07
115,-6.27
116,-6.23
117,-6.56
118,-7.03
119,-7.62
120,25.71
121,25.69
122,25.81
123,25.84
124,25.61
125,25.6
126,25.69
127,-4.67
128,-4.64
129,-4.72
130,-4.54
131,-4.7
132,-4.32
133,-4.18
134,27.02
135,26.98
136,26.96
137,26.77
138,26.69
139,26.57
140,26.5
141,5.4
142,5.28
143,5.01
144,4.9
145,4.93
146,4.72
147,4.46
148,3.09
149,3.12
150,2.96
151,2.97
152,3.08
153,2.88
154,2.48
155,-14.86
156,-15.41
157,-15.12
158,-15.13
159,-15.46
160,-15.47
161,-15.03
162,25.33
163,25.37
164,25.33
165,25.37
166,25.2
167,25.23
168,25.23
169,24.74
170,24.79
171,24.66
172,24.73
173,24.7
174,24.66
175,24.81
176,27.51
177,27.52
178,27.57
179,27.58
180,27.53
181,27.51
182,27.51
183,-1.24
184,-1.39
185,-1.65
186,-1.65
187,-1.6
188,-1.88
189,-2.01
190,-1.13
191,-1.4
192,-1.53
193,-1.59
194,-1.63
195,-1.88
196,-1.97
197,7.83
198,7.61
199,7.54
200,7.53
201,7.46
202,7.14
203,6.93
204,27.35
205,27.35
206,27.41
207,27.36
208,27.4
209,27.29
210,27.26
211,0.34
212,0.28
213,0.15
214,0.32
215,0.31
216,0.06
217,-0.15
218,4.06
219,4.07
220,4.06
221,4.19
222,4.07
223,3.74
224,3.52
225,28.2
226,28.16
227,28.17
228,28.18
