submission_ID,avg_temp_c
1,8.58
2,8.24
3,7.89
4,7.55
5,7.36
6,7.47
7,7.54
8,14.54
9,14.42
10,14.24
11,14.06
12,13.96
13,13.81
14,13.71
15,26.9
16,26.96
17,26.91
18,26.9
19,26.97
20,26.95
21,26.91
22,-1.25
23,-1.34
24,-1.24
25,-1.12
26,-1.24
27,-1.36
28,-1.17
29,25.15
30,25.18
31,25.08
32,25.36
33,25.24
34,25.14
35,25.32
36,19.25
37,19.45
38,19.8
39,19.99
40,20.27
41,20.28
42,19.86
43,3.17
44,3.26
45,3.09
46,3.02
47,3.17
48,2.92
49,2.56
50,20.55
51,20.5
52,20.43
53,20.38
54,20.58
55,20.54
56,20.33
57,19.55
58,19.65
59,19.66
60,19.61
61,19.71
62,19.77
63,19.77
64,-2.16
65,-2.35
66,-2.68
67,-2.76
68,-2.84
69,-2.99
70,-3.32
71,6.98
72,6.86
73,6.96
74,6.89
75,6.63
76,6.3
77,6.12
78,3.08
79,2.63
80,1.94
81,1.79
82,1.8
83,1.91
84,1.45
85,3.1
86,2.79
87,2.35
88,1.98
89,1.72
90,1.79
91,1.72
92,24.17
93,24.12
94,24.1
95,24.12
96,24.17
97,24.04
98,24.01
99,20.58
100,20.48
101,20.48
102,20.32
103,20.33
104,20.33
105,20.28
106,27.58
107,27.59
108,27.59
109,27.59
110,27.64
111,27.64
112,27.59
113,-4.71
114,-4.81
115,-5.0
116,-4.93
117,-5.26
118,-5.71
119,-6.28
120,25.97
121,25.97
122,26.09
123,26.13
124,25.91
125,25.9
126,25.99
127,-4.76
128,-4.73
129,-4.79
130,-4.61
131,-4.76
132,-4.38
133,-4.23
134,27.07
135,27.03
136,27.02
137,26.83
138,26.75
139,26.64
140,26.57
141,5.48
142,5.33
143,5.06
144,4.94
145,4.97
146,4.76
147,4.5
148,2.68
149,2.71
150,2.55
151,2.55
152,2.66
153,2.46
154,2.06
155,-13.77
156,-14.3
157,-14.01
158,-14.02
159,-14.34
160,-14.34
161,-13.88
162,25.23
163,25.27
164,25.23
165,25.26
166,25.09
167,25.11
168,25.11
169,24.95
170,24.99
171,24.86
172,24.92
173,24.89
174,24.85
175,24.99
176,27.58
177,27.58
178,27.63
179,27.64
180,27.59
181,27.56
182,27.57
183,-1.66
184,-1.8
185,-2.05
186,-2.05
187,-2.0
188,-2.27
189,-2.4
190,-1.13
191,-1.38
192,-1.52
193,-1.57
194,-1.61
195,-1.85
196,-1.94
197,7.56
198,7.34
199,7.27
200,7.25
201,7.17
202,6.86
203,6.64
204,27.59
205,27.6
206,27.66
207,27.62
208,27.66
209,27.56
210,27.53
211,0.66
212,0.6
213,0.47
214,0.65
215,0.64
216,0.38
217,0.18
218,3.85
219,3.89
220,3.89
221,4.04
222,3.93
223,3.61
224,3.4
225,28.38
226,28.34
227,28.35
228,28.37
229,28.31
230,28.25
231,28.21
232,12.32
233,12.07
234,11.84
235,11.5
236,11.37
237,11.42
238,11.45
239,27.31
240,27.25
241,27.29
242,27.19
243,27.3
244,27.25
245,27.08
246,20.6
247,20.58
248,20.65
249,20.79
250,20.9
251,20.85
252,20.94
253,2.95
254,2.82
255,2.49
256,2.45
257,2.48
258,2.4
259,2.01
260,12.32
261,12.55
262,12.81
263,13.0
264,12.97
265,12.94
266,12.99
267,27.66
268,27.65
269,27.59
270,27.63
271,27.52
272,27.55
273,27.55
274,6.46
275,6.5
276,6.57
277,6.79
278,6.85
279,6.77
280,6.57
281,7.0
282,7.0
283,7.15
284,6.94
285,6.75
286,6.57
287,6.58
288,9.84
289,9.5
290,9.15
291,9.01
292,9.12
293,9.32
294,9.15
295,6.16
296,6.1
297,5.99
298,5.97
299,5.75
300,5.65
301,5.68
302,28.07
303,28.08
304,27.97
305,28.1
306,28.16
307,28.15
308,28.18
309,-3.88
310,-4.53
311,-4.67
312,-4.55
313,-4.69
314,-5.02
315,-5.29
316,-1.81
317,-2.04
318,-2.36
319,-2.36
320,-2.41
321,-2.51
322,-2.78
323,5.09
324,4.95
325,4.82
326,4.9
327,4.61
328,4.38
329,4.08
330,3.75
331,3.37
332,3.04
333,2.91
334,2.59
335,2.49
336,2.38
337,20.74
