submission_ID,avg_temp_c
1,5.97
2,7.81
3,8.37
4,6.58
5,6.93
6,5.79
7,7.59
8,13.75
9,13.18
10,13.4
11,15.96
12,13.74
13,13.88
14,13.5
15,27.15
16,26.91
17,27.19
18,26.12
19,26.66
20,27.21
21,26.88
22,-2.64
23,-1.68
24,-2.2
25,-4.12
26,-0.89
27,0.22
28,-1.84
29,22.64
30,24.63
31,25.89
32,25.41
33,24.36
34,23.66
35,24.68
36,19.12
37,20.91
38,21.45
39,23.54
40,20.49
41,20.22
42,21.14
43,4.31
44,3.57
45,4.48
46,3.75
47,4.84
48,2.48
49,2.16
50,19.76
51,20.32
52,19.68
53,20.62
54,18.0
55,20.06
56,19.56
57,20.36
58,20.26
59,19.35
60,18.29
61,18.25
62,18.66
63,19.47
64,1.19
65,-0.03
66,1.17
67,0.09
68,0.32
69,-0.95
70,-2.29
71,4.23
72,5.79
73,6.61
74,4.85
75,4.66
76,4.25
77,3.72
78,0.74
79,3.02
80,2.73
81,-0.36
82,2.74
83,1.84
84,2.69
85,0.81
86,2.69
87,2.67
88,1.53
89,-0.21
90,0.22
91,1.29
92,23.68
93,25.01
94,26.1
95,24.01
96,23.49
97,24.05
98,24.61
99,19.97
100,21.11
101,20.3
102,19.99
103,20.04
104,19.71
105,21.07
106,27.73
107,27.97
108,27.48
109,28.17
110,28.24
111,28.27
112,28.32
113,-7.58
114,-12.07
115,-6.57
116,-4.53
117,-7.85
118,-10.72
119,-9.34
120,25.67
121,25.69
122,25.38
123,25.04
124,25.71
125,26.21
126,26.81
127,-4.54
128,-3.66
129,-3.72
130,-3.49
131,-2.75
132,-5.54
133,-4.69
134,27.96
135,28.85
136,28.07
137,26.96
138,27.68
139,27.52
140,28.45
141,6.15
142,5.52
143,5.35
144,3.54
145,6.6
146,5.24
147,4.7
148,4.39
149,1.47
150,2.66
151,5.05
152,4.3
153,2.22
154,1.61
155,-18.77
156,-12.36
157,-13.12
158,-12.43
159,-19.26
160,-12.1
161,-7.8
162,25.51
163,25.34
164,25.43
165,26.4
166,25.87
167,25.54
168,25.49
169,24.8
170,24.83
171,25.28
172,24.7
173,24.96
174,24.21
175,23.58
176,27.65
177,27.32
178,26.68
179,27.51
180,26.79
181,27.33
182,27.68
183,1.95
184,0.6
185,0.6
186,0.26
187,-0.17
188,-0.48
189,-1.56
190,1.08
191,0.8
192,1.67
193,0.92
194,-1.48
195,-1.33
196,1.19
197,4.95
198,6.77
199,8.25
200,5.98
201,6.04
202,4.61
203,5.22
204,26.92
205,27.41
206,27.41
207,27.41
208,27.7
209,27.49
210,27.36
211,6.76
212,4.73
213,2.99
214,3.24
215,4.08
216,3.52
217,3.26
218,5.52
219,4.4
220,4.89
221,3.44
222,4.66
223,3.63
224,1.6
225,28.34
226,28.0
227,28.35
228,28.11
229,28.24
230,28.11
231,27.92
232,10.11
233,12.17
234,12.36
235,10.7
236,9.45
237,8.59
238,12.05
239,28.48
240,27.87
241,27.74
242,27.49
243,27.65
244,27.56
245,26.99
246,19.02
247,21.08
248,20.13
249,21.07
250,20.64
251,21.19
252,20.78
253,4.38
254,3.61
255,4.02
256,2.56
257,3.37
258,2.84
259,1.44
260,11.6
261,12.41
262,12.97
263,13.85
264,13.09
265,14.38
266,14.63
267,27.37
268,28.46
269,28.56
270,28.71
271,28.34
272,28.29
273,28.29
274,6.92
275,6.83
276,6.29
277,5.36
278,5.2
279,4.41
280,5.11
281,4.96
282,6.59
283,5.1
284,5.41
285,4.94
286,5.93
287,3.56
288,8.49
289,8.89
290,8.33
291,6.97
292,9.14
293,7.91
294,9.36
295,6.23
296,4.95
297,5.17
298,5.58
299,5.32
300,5.69
301,5.09
302,29.3
303,28.84
304,28.15
305,28.15
306,28.94
307,28.62
308,28.37
309,-2.82
310,-4.33
311,-4.77
312,-7.98
313,-7.48
314,-6.55
315,-8.61
316,1.47
317,-0.0
318,0.27
319,-1.22
320,-0.41
321,-0.87
322,-3.02
323,2.79
324,3.2
325,5.26
326,2.82
327,3.57
328,2.36
329,1.85
330,3.4
331,4.47
332,2.74
333,3.12
334,1.75
335,2.3
336,3.9
337,21.06
338,21.67
339,21.01
340,20.88
341,21.07
342,21.82
343,21.29
344,24.28
345,25.41
346,24.6
347,24.4
348,24.04
349,23.97
350,25.1
351,12.98
352,13.35
353,13.1
354,11.23
355,12.39
356,13.1
357,14.22
358,24.25
359,23.56
360,23.2
361,23.31
362,24.11
363,24.36
364,24.08
365,10.57
366,9.99
367,10.19
368,9.19
369,10.44
370,9.6
371,9.88
372,8.19
373,8.4
374,8.21
375,7.87
376,5.97
377,7.99
378,7.42
379,11.46
380,11.31
381,11.25
382,10.57
383,10.71
384,10.66
385,10.94
386,26.93
387,24.85
388,26.15
389,26.38
390,27.5
391,27.05
392,26.88
393,23.64
394,24.36
395,25.31
396,23.76
397,22.98
398,24.93
399,24.03
400,10.04
401,9.84
402,9.99
403,9.75
404,9.05
405,9.94
406,10.43
407,18.56
408,20.04
409,19.34
410,17.64
411,18.5
412,17.54
413,16.82
414,26.59
415,26.5
416,26.6
417,26.71
418,26.91
419,26.77
420,26.1
421,23.31
422,24.36
423,26.65
424,24.23
425,22.9
426,24.26
427,25.19
428,-5.31
429,-7.06
430,-6.84
431,-5.41
432,-5.79
433,-5.56
434,-8.07
435,1.83
436,1.15
437,0.65
438,0.09
439,-0.19
440,-2.46
441,-4.44
442,23.33
443,23.16
444,23.52
445,23.43
446,23.18
447,23.17
448,22.72
449,27.04
450,26.87
451,26.38
452,27.49
453,27.57
454,27.78
455,27.3
456,3.08
457,2.31
458,3.52
459,1.83
460,2.6
461,1.11
462,-1.37
463,19.66
464,21.38
465,20.74
466,21.28
467,18.81
468,20.24
469,20.26
470,3.28
471,3.45
472,5.1
473,3.52
474,2.03
475,2.18
476,3.31
477,19.97
478,21.11
479,20.3
480,19.99
481,20.04
482,19.71
483,21.07
484,25.83
485,25.56
486,25.96
487,26.02
488,25.83
489,25.7
490,25.97
491,28.37
492,27.57
493,28.06
494,28.2
495,28.11
496,28.26
497,28.11
498,5.08
499,5.55
500,6.38
501,4.86
502,6.01
503,5.06
504,4.9
505,16.51
506,16.64
507,15.92
508,16.63
509,14.29
510,15.75
511,14.97
512,23.2
513,23.14
514,23.05
515,22.83
516,23.29
517,22.99
518,22.63
519,4.11
520,6.8
521,5.78
522,3.2
523,5.9
524,4.66
525,4.69
526,28.48
527,27.87
528,27.74
529,27.49
530,27.65
531,27.56
532,26.99
533,26.46
534,27.35
535,27.21
536,27.03
537,27.33
538,27.12
539,27.84
540,2.5
541,1.51
542,2.46
543,1.28
544,3.34
545,2.33
546,2.36
547,27.64
548,28.05
549,28.15
550,28.36
551,27.73
552,27.9
553,28.74
554,21.8
555,21.61
556,20.05
557,20.98
558,23.1
559,23.88
560,23.52
561,-1.11
562,-2.73
563,-2.79
564,-1.48
565,-1.58
566,-2.14
567,-4.39
568,6.64
569,6.69
570,6.31
571,6.01
572,6.32
573,4.19
574,3.51
575,27.1
576,27.51
577,27.28
578,27.21
579,27.16
580,27.16
581,27.22
582,22.69
583,22.6
584,22.35
585,23.32
586,22.19
587,22.78
588,23.81
589,-1.0
590,0.98
591,1.23
592,0.29
593,-1.49
594,-4.22
