submission_ID,avg_temp_c
1,7.47
2,7.47
3,7.69
4,6.79
5,6.63
6,6.43
7,7.03
8,13.53
9,13.48
10,13.78
11,14.71
12,14.28
13,13.71
14,13.34
15,27.1
16,27.07
17,27.04
18,26.55
19,26.59
20,27.03
21,27.06
22,-2.26
23,-2.26
24,-2.62
25,-3.02
26,-1.09
27,-0.22
28,-1.44
29,24.31
30,24.31
31,25.17
32,25.09
33,24.37
34,24.01
35,24.45
36,20.55
37,20.55
38,21.41
39,21.88
40,20.89
41,20.44
42,20.72
43,4.06
44,4.06
45,4.2
46,4.22
47,4.19
48,2.63
49,2.47
50,20.14
51,20.14
52,20.08
53,19.96
54,19.0
55,19.5
56,19.5
57,19.98
58,19.98
59,19.47
60,18.41
61,18.22
62,18.6
63,19.15
64,0.58
65,0.58
66,0.82
67,0.41
68,0.12
69,-0.9
70,-2.36
71,5.12
72,5.39
73,6.06
74,5.35
75,4.66
76,4.3
77,4.17
78,2.04
79,2.04
80,1.84
81,0.58
82,1.96
83,2.57
84,2.24
85,2.12
86,2.12
87,2.12
88,1.17
89,0.2
90,0.49
91,0.62
92,24.99
93,24.99
94,25.29
95,24.19
96,23.62
97,23.98
98,24.54
99,20.46
100,20.65
101,20.31
102,20.02
103,19.92
104,19.92
105,20.91
106,27.84
107,27.84
108,27.79
109,28.11
110,28.22
111,28.27
112,28.39
113,-9.1
114,-9.17
115,-6.55
116,-5.47
117,-7.79
118,-9.74
119,-9.87
120,25.6
121,25.6
122,25.44
123,25.3
124,25.7
125,26.31
126,26.5
127,-3.9
128,-3.9
129,-3.7
130,-3.39
131,-3.3
132,-4.85
133,-4.53
134,28.38
135,28.38
136,28.16
137,27.51
138,27.48
139,27.69
140,27.94
141,5.33
142,5.33
143,4.91
144,4.51
145,5.77
146,5.64
147,4.51
148,3.54
149,2.91
150,3.31
151,4.41
152,4.14
153,2.21
154,1.72
155,-16.52
156,-14.27
157,-13.52
158,-14.2
159,-15.33
160,-12.09
161,-10.3
162,25.51
163,25.51
164,25.67
165,26.09
166,25.89
167,25.55
168,25.59
169,24.99
170,24.99
171,25.03
172,24.85
173,24.78
174,24.17
175,24.04
176,27.29
177,27.29
178,27.04
179,27.14
180,27.01
181,27.31
182,27.66
183,1.12
184,1.12
185,0.83
186,0.37
187,-0.18
188,-0.6
189,-1.29
190,1.08
191,1.2
192,1.38
193,1.08
194,-0.57
195,-0.98
196,-0.41
197,6.67
198,6.67
199,7.12
200,6.32
201,5.69
202,5.11
203,5.35
204,27.26
205,27.26
206,27.38
207,27.47
208,27.58
209,27.49
210,27.38
211,5.03
212,5.03
213,3.77
214,3.5
215,3.72
216,3.62
217,3.61
218,4.77
219,4.77
220,4.68
221,4.1
222,4.14
223,3.37
224,2.21
225,28.16
226,28.16
227,28.18
228,28.19
229,28.19
230,28.07
231,28.06
232,11.48
233,11.48
234,11.65
235,10.53
236,9.35
237,9.43
238,11.1
239,28.07
240,28.07
241,27.8
242,27.62
243,27.58
244,27.44
245,27.25
246,20.24
247,20.24
248,20.27
249,20.83
250,20.84
251,21.05
252,20.85
253,4.1
254,3.99
255,3.55
256,3.05
257,3.11
258,2.88
259,1.49
260,12.34
261,12.34
262,12.87
263,13.39
264,13.52
265,14.27
266,14.4
267,27.84
268,28.04
269,28.48
270,28.55
271,28.38
272,28.28
273,28.32
274,6.75
275,6.73
276,6.38
277,5.32
278,5.04
279,4.68
280,5.03
281,5.87
282,5.87
283,5.4
284,5.29
285,5.28
286,5.12
287,4.1
288,8.41
289,8.41
290,8.02
291,7.68
292,8.51
293,8.63
294,8.94
295,5.37
296,5.37
297,5.35
298,5.48
299,5.47
300,5.44
301,5.06
302,28.81
303,28.81
304,28.32
305,28.35
306,28.73
307,28.63
308,28.44
309,-3.96
310,-3.96
311,-4.51
312,-7.4
313,-7.49
314,-7.22
315,-7.94
316,0.73
317,0.57
318,0.24
319,-0.5
320,-0.65
321,-1.24
322,-2.54
323,3.49
324,3.49
325,4.05
326,3.41
327,3.17
328,2.48
329,2.2
330,3.94
331,3.97
332,3.17
333,2.79
334,2.24
335,2.5
336,3.41
337,21.32
338,21.32
339,21.07
340,20.91
341,21.23
342,21.59
343,21.45
344,24.96
345,24.96
346,24.7
347,24.32
348,24.0
349,24.23
350,24.8
351,13.12
352,13.09
353,12.81
354,12.11
355,12.3
356,13.08
357,13.97
358,23.82
359,23.73
360,23.42
361,23.49
362,23.96
363,24.28
364,24.12
365,10.12
366,10.12
367,9.99
