submission_ID,avg_temp_c
1,11.73
2,11.55
3,11.25
4,10.92
5,10.72
6,10.68
7,10.78
8,14.2
9,14.33
10,14.35
11,14.5
12,14.54
13,14.44
14,14.57
15,27.01
16,27.08
17,27.0
18,26.96
19,26.9
20,26.95
21,26.92
22,1.08
23,0.15
24,-0.32
25,-0.26
26,0.14
27,-0.09
28,-0.36
29,25.39
30,25.0
31,25.12
32,25.49
33,25.11
34,24.48
35,24.14
36,19.44
37,18.67
38,18.46
39,18.74
40,19.04
41,18.95
42,18.47
43,4.9
44,4.47
45,4.25
46,4.3
47,4.14
48,3.97
49,3.98
50,18.89
51,19.0
52,19.11
53,19.14
54,19.24
55,19.21
56,19.13
57,17.58
58,17.96
59,18.14
60,18.18
61,18.11
62,18.28
63,18.38
64,2.12
65,2.36
66,2.24
67,1.97
68,1.48
69,1.5
70,1.58
71,16.48
72,15.8
73,16.21
74,16.14
75,16.18
76,16.32
77,16.03
78,6.85
79,6.93
80,6.71
81,6.15
82,6.26
83,6.24
84,6.51
85,4.83
86,4.65
87,4.85
88,4.47
89,4.27
90,3.82
91,4.22
92,24.26
93,24.45
94,24.62
95,24.51
96,24.33
97,24.43
98,24.41
99,20.09
100,20.12
101,19.97
102,20.11
103,20.15
104,19.94
105,19.97
106,26.46
107,26.83
108,26.97
109,26.97
110,26.96
111,26.95
112,27.06
113,2.6
114,1.45
115,0.52
116,1.12
117,0.21
118,-0.14
119,0.07
120,25.63
121,25.62
122,25.51
123,25.77
124,25.8
125,25.45
126,25.41
127,-4.07
128,-4.07
129,-4.03
130,-4.07
131,-4.32
132,-4.39
133,-4.18
134,27.5
135,27.1
136,27.06
137,27.31
138,27.18
139,27.0
140,26.96
141,11.53
142,10.48
143,9.63
144,9.58
145,9.3
146,9.38
147,9.15
148,15.12
149,14.92
150,14.97
151,14.5
152,14.76
153,14.79
154,14.99
155,-9.94
156,-11.12
157,-11.4
158,-12.07
159,-11.92
160,-12.43
161,-12.93
162,25.65
163,25.68
164,25.78
165,25.49
166,25.54
167,25.62
168,25.61
169,25.51
170,25.42
171,25.18
172,25.18
173,25.1
174,25.05
175,25.09
176,27.59
177,27.68
178,27.57
179,27.58
180,27.52
181,27.62
182,27.52
183,2.96
184,2.44
185,1.97
186,1.63
187,1.41
188,1.03
189,1.3
190,3.23
191,2.93
192,2.62
193,1.99
194,1.82
195,1.6
196,1.69
197,15.77
198,15.37
199,15.52
200,15.54
201,15.6
202,15.6
203,15.24
204,27.93
205,27.81
206,27.69
207,27.7
208,27.78
209,27.75
210,27.75
211,-1.3
212,-1.41
213,-1.37
214,-1.4
215,-1.41
216,-1.37
217,-1.42
218,16.15
219,15.69
220,15.98
221,15.67
222,15.68
223,15.61
224,15.78
225,27.97
226,28.2
227,28.23
228,28.32
229,28.22
230,28.24
231,28.13
232,13.35
233,13.14
234,13.12
235,13.14
236,12.89
237,12.88
238,12.75
239,28.09
240,27.98
241,27.99
242,27.96
243,27.91
244,27.85
245,27.95
246,20.52
247,20.36
248,20.32
249,20.32
250,20.27
251,20.3
252,20.14
253,5.5
254,5.69
255,5.49
256,5.11
257,5.18
258,5.43
259,5.31
260,13.73
261,13.63
262,13.74
263,13.61
264,13.48
265,13.36
266,13.33
267,28.17
268,27.99
269,27.84
270,27.83
271,27.83
272,27.8
273,27.75
274,5.11
275,5.1
276,5.08
277,4.96
278,4.86
279,5.16
280,5.48
281,6.91
282,6.43
283,6.37
284,6.26
285,6.46
286,6.63
287,6.2
288,13.75
289,13.89
290,13.62
291,13.35
292,13.67
293,13.57
294,13.56
295,5.96
296,6.31
297,6.41
298,6.5
299,6.57
300,6.55
301,6.73
302,28.39
303,28.32
304,28.28
305,28.22
306,28.27
307,28.23
308,28.27
309,1.4
310,0.33
311,-0.89
312,-1.5
313,-1.67
314,-1.33
315,-1.2
316,2.86
317,3.09
318,3.22
319,2.8
320,2.7
321,2.57
322,2.35
323,14.67
324,14.06
325,14.19
326,14.21
327,14.14
328,14.06
329,13.98
330,2.39
331,3.03
332,2.99
333,3.34
334,3.21
335,3.66
336,3.65
337,22.04
338,21.66
339,21.6
340,21.68
341,21.55
342,21.49
343,21.47
344,25.9
345,25.73
346,25.64
347,25.65
348,25.76
349,25.65
350,25.62
351,14.83
352,14.87
353,14.86
354,14.87
355,14.88
356,15.0
357,14.86
358,21.96
359,22.17
360,22.22
361,22.33
362,22.38
363,22.34
364,22.37
365,12.45
366,12.36
367,12.25
368,12.28
369,12.31
370,12.32
371,12.29
372,10.97
373,10.88
374,10.73
375,10.49
376,10.35
377,10.18
378,10.0
379,12.94
380,13.17
381,13.4
382,13.54
383,13.77
384,13.96
385,13.98
386,23.53
387,24.17
388,24.56
389,24.72
390,24.72
391,24.81
392,24.86
393,22.76
394,23.08
395,23.0
396,22.91
397,22.98
398,23.24
399,23.43
400,9.56
401,9.54
402,9.57
403,9.58
404,9.66
405,9.62
406,9.7
407,16.06
408,16.53
409,16.68
410,16.91
411,17.15
412,17.0
413,16.84
414,26.45
415,26.27
416,26.14
417,26.34
418,26.3
419,26.24
420,26.09
421,23.78
422,23.83
423,23.95
424,23.94
425,23.87
426,23.81
427,23.96
428,-6.59
429,-6.84
430,-7.01
431,-7.15
432,-7.1
433,-7.38
434,-7.57
435,2.19
436,1.65
437,1.33
438,1.18
439,1.0
440,0.62
441,0.27
442,22.52
443,22.5
444,22.46
445,22.37
446,22.37
447,22.48
448,22.55
449,27.12
450,26.97
451,27.02
452,27.07
453,27.04
454,27.01
455,27.14
456,10.09
457,9.85
458,9.9
459,9.78
460,9.98
461,9.99
462,9.8
463,19.75
464,19.88
465,19.84
466,19.79
467,19.85
468,19.99
469,19.99
470,6.46
471,6.22
472,5.7
473,5.33
474,5.07
475,4.6
476,4.53
477,20.09
478,20.12
479,19.97
480,20.11
481,20.15
482,19.94
483,19.97
484,26.14
485,26.24
486,26.17
487,26.17
488,26.22
489,26.19
490,26.14
491,27.79
492,27.87
493,27.88
494,27.81
495,27.8
496,27.84
497,27.84
498,9.44
499,9.28
500,8.72
501,8.95
502,8.95
503,9.02
504,8.87
505,11.95
506,11.8
507,11.64
508,11.74
509,11.71
510,11.72
511,11.49
512,24.78
513,24.72
514,24.76
515,24.68
516,24.82
517,24.59
518,24.52
519,12.38
520,11.97
521,11.98
522,11.93
523,11.91
524,11.88
525,12.14
526,28.09
527,27.98
528,27.99
529,27.96
530,27.91
531,27.85
532,27.95
533,27.08
534,26.95
535,27.0
536,26.9
537,26.89
538,26.8
539,26.8
540,11.7
541,11.36
542,11.23
543,11.43
544,11.57
545,11.63
546,11.45
547,27.3
548,27.42
549,27.48
550,27.37
551,27.4
552,27.38
553,27.42
554,18.29
555,18.83
556,19.47
557,19.43
558,19.72
559,19.51
560,19.76
561,-0.49
562,-0.95
563,-1.4
564,-1.7
565,-1.72
566,-1.97
567,-2.03
568,7.05
569,7.24
570,7.06
571,7.03
572,7.19
573,7.34
574,7.45
575,26.65
576,26.83
577,26.92
578,26.95
579,26.94
580,27.06
581,26.89
582,24.42
583,24.12
584,23.78
585,23.59
586,23.6
587,23.4
588,23.65
589,3.94
590,3.45
591,2.97
592,2.93
593,3.33
594,2.91
595,2.39
596,6.76
597,6.99
598,6.9
599,6.98
600,6.91
601,6.92
602,7.05
603,2.96
604,3.37
605,3.3
606,3.65
607,3.86
608,3.92
609,4.37
610,24.71
611,24.15
612,24.14
613,24.05
614,24.19
615,24.03
616,23.89
617,26.4
618,26.82
619,27.0
620,27.25
621,27.02
622,27.14
623,27.12
624,2.67
625,2.81
626,2.84
627,2.98
628,2.86
629,2.72
630,2.31
631,2.47
632,2.25
633,2.24
634,2.14
635,2.13
636,2.24
637,2.52
638,28.76
639,28.78
640,28.79
641,28.76
642,28.68
643,28.77
644,28.8
645,6.91
646,6.6
647,6.47
648,6.28
649,6.42
650,6.42
651,6.24
652,21.92
653,22.22
654,22.18
655,22.16
656,22.02
657,22.1
658,22.07
659,11.59
660,10.79
661,10.23
662,9.94
663,9.99
664,9.75
665,9.07
666,22.57
667,22.14
668,22.2
669,22.82
670,22.73
671,22.22
672,21.41
673,1.18
674,1.29
675,1.08
676,1.41
