submission_ID,avg_temp_c
1,7.59
2,7.59
3,7.6
4,7.21
5,7.21
6,7.01
7,7.12
8,14.01
9,14.01
10,14.0
11,14.29
12,14.29
13,14.05
14,13.9
15,26.94
16,26.94
17,26.94
18,26.91
19,26.91
20,26.91
21,26.91
22,-1.65
23,-1.65
24,-1.65
25,-1.65
26,-1.65
27,-1.65
28,-1.67
29,24.07
30,24.07
31,24.45
32,24.46
33,24.46
34,24.42
35,24.52
36,20.64
37,20.64
38,20.8
39,20.8
40,20.74
41,20.74
42,20.74
43,4.01
44,4.01
45,4.01
46,3.82
47,3.82
48,3.03
49,2.81
50,20.02
51,20.02
52,19.97
53,19.46
54,19.46
55,19.89
56,19.35
57,20.39
58,20.39
59,19.67
60,19.32
61,19.24
62,19.24
63,19.6
64,0.46
65,0.46
66,0.46
67,0.1
68,0.1
69,-0.57
70,-1.91
71,5.58
72,5.58
73,5.55
74,5.14
75,5.14
76,5.0
77,4.98
78,1.82
79,1.82
80,1.82
81,1.82
82,1.82
83,1.82
84,1.82
85,1.72
86,1.72
87,1.97
88,0.48
89,0.48
90,0.48
91,0.67
92,25.03
93,25.03
94,25.2
95,24.73
96,24.73
97,24.85
98,25.14
99,20.58
100,20.58
101,20.48
102,20.43
103,20.43
104,20.43
105,20.79
106,28.05
107,28.05
108,28.04
109,28.21
110,28.21
111,28.23
112,28.23
113,-7.15
114,-7.15
115,-6.48
116,-6.35
117,-7.74
118,-7.74
119,-7.87
120,25.76
121,25.76
122,25.72
123,25.76
124,25.76
125,26.29
126,26.31
127,-3.79
128,-3.79
129,-3.7
130,-3.38
131,-3.38
132,-4.94
133,-4.37
134,27.97
135,27.97
136,27.87
137,27.66
138,27.66
139,27.55
140,27.6
141,5.81
142,5.81
143,5.48
144,5.24
145,5.24
146,5.01
147,4.45
148,3.07
149,3.07
150,4.15
151,4.15
152,3.6
153,2.35
154,1.99
155,-14.05
156,-14.05
157,-13.65
158,-13.43
159,-13.43
160,-12.66
161,-12.66
162,25.66
163,25.66
164,25.66
165,25.74
166,25.74
167,25.74
168,25.74
169,24.91
170,24.91
171,24.91
172,24.91
173,24.88
174,24.72
175,24.73
176,27.29
177,27.29
178,27.09
179,27.17
180,27.17
181,27.31
182,27.46
183,1.11
184,1.11
185,0.56
186,0.19
187,0.19
188,-0.23
189,-0.87
190,1.07
191,1.07
192,1.05
193,1.05
194,-0.38
195,-0.85
196,-0.84
197,6.32
198,6.32
199,7.23
200,6.12
201,6.12
202,5.59
203,5.53
204,27.3
205,27.3
206,27.44
207,27.48
208,27.48
209,27.48
210,27.47
211,5.05
212,5.05
213,4.29
214,4.18
215,4.18
216,4.14
217,4.15
218,4.87
219,4.87
220,4.47
221,4.03
222,4.03
223,3.73
224,3.46
225,28.17
226,28.17
227,28.17
228,28.15
229,28.15
230,28.19
231,28.21
232,11.11
233,11.11
234,11.91
235,9.97
236,9.97
237,9.34
238,11.41
239,27.82
240,27.82
241,27.67
242,27.59
243,27.57
244,27.57
245,27.57
246,20.48
247,20.48
248,20.44
249,20.66
250,20.66
251,20.72
252,20.57
253,4.32
254,4.32
255,3.48
256,3.48
257,3.13
258,2.62
259,1.49
260,12.34
261,12.34
262,13.08
263,13.35
264,13.35
265,14.14
266,14.14
267,28.01
268,28.01
269,28.42
270,28.42
271,28.33
272,28.33
273,28.27
274,6.64
275,6.64
276,5.82
277,5.82
278,5.15
279,4.97
280,5.29
281,6.12
282,6.12
283,5.54
284,5.45
285,5.45
286,5.4
287,5.07
288,8.4
289,8.4
290,8.13
291,8.08
292,8.08
293,8.08
294,8.45
295,5.46
296,5.46
297,5.46
298,5.5
299,5.5
300,5.66
301,5.21
302,28.67
303,28.67
304,28.49
305,28.49
306,28.49
307,28.49
308,28.49
309,-4.29
310,-4.29
311,-5.3
312,-6.71
313,-6.71
314,-6.67
315,-6.77
316,0.46
317,0.46
318,0.02
319,0.02
320,-0.35
321,-0.99
322,-2.0
323,3.14
324,3.14
325,4.01
326,3.11
327,3.11
328,2.65
329,2.65
330,3.49
331,3.49
332,2.82
333,2.86
334,2.36
335,2.7
336,2.7
337,21.14
338,21.14
339,21.12
340,21.13
341,21.13
342,21.28
343,21.29
344,24.9
345,24.9
346,24.9
347,24.9
348,24.9
349,24.9
350,24.99
351,12.95
352,12.95
353,12.11
354,12.11
355,12.44
356,12.96
357,13.84
358,23.64
359,23.64
360,23.49
361,23.49
362,23.83
363,24.05
364,24.05
365,10.05
366,10.05
367,10.03
368,9.9
369,9.9
370,9.71
371,9.52
372,8.39
373,8.39
374,7.99
375,7.99
376,7.79
377,7.8
378,7.54
379,11.34
380,11.34
381,11.32
382,11.24
383,11.24
384,11.22
385,11.2
386,26.36
387,26.36
388,26.38
389,26.38
390,26.62
391,26.62
392,26.62
393,24.19
394,24.19
395,24.22
396,24.1
397,24.1
398,24.13
399,24.09
400,10.43
401,10.43
402,10.35
403,10.25
404,10.25
405,10.46
406,10.61
407,18.62
408,18.62
409,18.18
410,18.18
411,17.96
412,17.84
413,17.81
414,26.69
415,26.69
416,26.7
417,26.71
418,26.71
419,26.68
420,26.67
421,23.74
422,23.74
423,26.97
424,23.57
425,23.57
426,24.24
427,25.02
428,-6.4
429,-6.4
430,-6.4
431,-5.95
432,-5.95
433,-5.95
434,-7.15
435,0.94
436,0.94
437,0.68
438,0.13
439,0.13
440,-0.81
441,-1.1
442,23.22
443,23.22
444,23.39
445,23.39
446,23.2
447,22.86
448,22.86
449,27.09
450,27.09
451,27.04
452,27.47
453,27.47
454,27.47
455,27.44
456,3.02
457,3.02
458,2.82
459,2.82
460,2.44
461,1.3
462,0.37
463,20.62
464,20.62
465,20.64
466,20.02
467,20.02
468,20.18
469,20.01
470,3.36
471,3.36
472,4.12
473,2.56
474,2.56
475,2.56
476,2.56
477,20.58
478,20.58
479,20.48
480,20.43
481,20.43
482,20.43
483,20.79
484,25.89
485,25.89
486,25.9
487,25.89
488,25.89
489,25.89
490,25.89
491,28.09
492,28.09
493,28.1
494,28.1
495,28.1
496,28.1
497,28.1
498,5.27
499,5.27
500,5.74
501,5.41
502,5.41
503,5.16
504,4.73
505,16.48
506,16.48
507,16.46
508,15.64
509,15.64
510,15.78
511,14.69
512,23.08
513,23.08
514,23.03
515,23.0
516,23.0
517,22.95
518,22.75
519,6.0
520,6.0
521,5.59
522,4.94
523,4.94
524,4.47
525,4.02
526,27.82
527,27.82
528,27.67
529,27.59
530,27.57
531,27.57
532,27.57
533,27.19
534,27.19
535,27.29
536,27.28
537,27.28
538,27.32
539,27.49
540,2.44
541,2.44
542,2.43
