day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,condition_text
D0003,0,20.0,3.6,10,1011.0,4.5,100,75,20.0,10.0,1.0,12.6,1,3
D0004,0,17.0,6.1,150,1018.0,0.0,88,0,17.0,10.0,1.0,11.2,1,0
D0007,0,21.0,4.0,310,1015.0,0.0,100,50,21.0,10.0,1.0,15.1,2,6
D0019,0,19.0,3.6,64,1017.0,0.0,88,0,19.0,10.0,1.0,8.3,3,0
D0028,1,19.0,3.6,83,1010.0,0.0,73,25,19.0,10.0,1.0,8.3,1,6
D0035,1,25.0,6.1,70,1015.0,0.0,83,25,27.0,10.0,1.0,17.3,1,6
D0042,1,25.0,3.6,141,1016.0,0.0,83,50,26.3,8.0,1.0,14.4,1,3
D0079,3,29.0,15.1,90,1015.0,0.3,79,75,34.0,10.0,1.0,37.4,1,2
D0081,3,29.0,15.1,100,1015.0,0.1,79,50,34.1,10.0,1.0,33.5,1,1
D0087,3,27.0,6.1,100,1015.0,0.1,79,62,29.9,10.0,1.0,31.7,1,1
D0099,3,29.0,9.0,70,1012.0,0.24,70,25,33.3,10.0,6.0,22.2,1,6
D0103,3,29.0,9.0,100,1012.0,0.02,75,50,33.4,10.0,6.0,30.4,1,1
D0106,4,11.0,15.1,80,1019.0,0.0,82,0,9.9,10.0,1.0,18.0,1,0
D0111,4,11.0,15.1,170,1013.0,0.2,94,100,9.2,10.0,1.0,21.6,1,1
D0114,4,12.0,24.1,120,1020.0,0.0,77,0,9.9,10.0,1.0,32.0,1,0
D0125,4,16.0,28.1,160,1011.0,0.04,51,0,16.0,10.0,1.0,33.3,1,0
D0127,4,15.0,28.1,120,1019.0,0.0,77,75,13.8,10.0,1.0,25.9,1,6
D0128,4,16.0,20.2,120,1014.0,0.08,94,100,16.0,2.5,1.0,25.6,1,2
D0134,5,24.0,9.0,40,1015.0,0.0,36,0,25.2,10.0,1.0,22.7,1,0
D0141,5,25.0,19.1,360,1012.0,0.0,39,0,26.1,10.0,1.0,18.4,1,0
D0146,5,14.0,3.6,10,1017.0,0.0,94,75,14.3,6.0,1.0,5.8,1,2
D0148,5,18.0,3.6,10,1018.0,0.0,39,0,18.0,10.0,1.0,24.8,1,0
D0174,6,9.0,9.0,360,1026.0,0.0,93,0,8.4,10.0,4.0,7.9,1,0
D0186,7,16.0,6.8,250,1017.0,0.1,77,0,16.0,10.0,1.0,13.0,1,0
D0205,7,17.0,11.2,220,1017.0,0.0,72,0,17.0,10.0,1.0,7.0,1,0
D0210,8,33.0,9.0,90,1001.0,0.0,67,0,39.8,10.0,1.0,12.2,2,0
D0213,8,34.0,9.0,270,1003.0,0.0,47,0,41.5,10.0,1.0,28.4,3,0
D0218,8,34.0,9.0,200,1001.0,0.0,80,0,46.4,4.5,1.0,14.8,3,4
D0232,8,32.0,11.2,320,1004.0,0.0,63,0,37.0,10.0,1.0,21.2,2,0
D0235,9,34.0,5.4,259,1000.0,0.0,52,70,39.6,10.0,7.0,7.6,4,1
D0238,9,28.2,11.2,193,1004.0,0.1,82,80,33.1,10.0,1.0,17.6,4,2
D0241,9,29.7,7.6,236,1003.0,0.2,74,53,35.2,10.0,1.0,13.0,3,7
D0242,9,27.4,4.3,168,1002.0,0.0,82,48,31.4,10.0,1.0,6.8,2,6
D0243,9,28.2,6.8,169,1003.0,0.1,83,59,33.2,10.0,1.0,10.8,2,2
D0244,9,26.8,15.8,113,1004.0,0.0,86,100,30.6,10.0,1.0,22.0,1,1
D0245,9,26.0,17.6,152,1003.0,0.5,93,100,29.9,10.0,1.0,25.6,1,7
D0246,9,25.6,9.4,129,1005.0,0.0,93,48,29.1,10.0,1.0,15.5,2,6
D0249,9,27.2,10.1,156,1002.0,0.0,86,86,31.4,10.0,1.0,15.5,1,1
D0253,9,26.5,9.0,152,1006.0,0.0,89,26,30.5,9.0,1.0,14.0,1,3
D0255,9,26.8,13.0,127,1003.0,0.04,86,80,30.5,10.0,1.0,20.2,3,2
D0256,9,24.8,16.9,124,1004.0,4.7,93,78,27.7,7.0,1.0,24.8,1,5
D0258,9,25.4,11.9,130,1006.0,1.55,95,51,28.9,9.0,1.0,20.3,1,2
D0260,9,26.0,12.6,141,1006.0,0.23,92,78,29.7,9.0,1.0,21.4,1,2
D0261,10,22.0,11.2,90,1012.0,0.0,61,0,24.4,10.0,6.0,21.2,1,0
D0268,10,10.0,4.0,320,1027.0,0.0,100,0,10.3,10.0,1.0,7.6,1,4
D0269,10,14.0,6.8,230,1022.0,0.0,88,0,13.1,10.0,1.0,26.3,1,0
D0278,10,14.0,22.0,350,1016.0,0.0,100,100,12.5,7.0,1.0,27.0,1,1
D0279,10,6.0,3.6,65,1027.0,0.0,100,0,3.9,9.0,1.0,20.5,1,4
D0282,10,17.0,11.2,150,1017.0,0.0,83,0,17.0,10.0,1.0,25.7,1,0
D0297,11,20.0,6.8,170,1017.0,0.0,83,0,20.0,10.0,1.0,18.7,1,0
D0302,11,18.0,13.0,280,1014.0,0.0,94,50,18.0,8.0,1.0,16.6,2,2
D0305,11,16.0,6.1,120,1014.0,0.0,82,0,16.0,10.0,1.0,15.8,2,0
D0317,12,13.0,3.6,146,1022.0,0.0,100,0,13.5,10.0,1.0,8.3,2,0
D0334,12,19.0,3.6,177,1017.0,0.13,88,0,19.0,10.0,1.0,15.1,1,0
D0345,13,18.0,3.6,350,1019.0,0.0,77,100,18.0,10.0,1.0,6.5,1,8
D0346,13,15.0,3.6,54,1018.0,2.5,94,100,15.0,10.0,1.0,11.9,1,2
D0367,14,24.1,17.6,210,1013.0,1.1,86,79,26.2,9.0,1.0,26.6,3,2
D0372,14,25.8,9.7,216,1013.0,0.1,78,85,28.1,10.0,1.0,17.3,2,2
D0375,14,27.2,14.0,193,1012.0,0.1,71,84,29.5,10.0,1.0,27.4,4,2
D0376,14,27.5,3.6,22,1011.0,0.0,68,44,29.8,10.0,1.0,4.3,3,6
D0377,14,25.8,10.8,192,1014.0,0.2,77,89,28.1,10.0,1.0,19.4,2,2
D0386,14,27.0,6.8,210,1013.0,0.0,89,25,29.5,10.0,1.0,21.2,2,6
D0399,15,23.6,6.1,67,1013.0,0.1,70,85,25.4,10.0,1.0,7.6,2,2
D0409,15,22.7,3.6,71,1011.0,0.0,62,7,24.8,10.0,1.0,3.6,3,0
D0413,15,17.3,4.3,16,1015.0,0.07,86,85,17.3,10.0,1.0,8.6,2,2
D0425,18,27.0,19.1,10,1012.0,0.0,74,50,29.7,10.0,1.0,35.6,1,6
D0427,18,27.0,15.1,170,1012.0,0.1,84,25,31.3,10.0,1.0,36.4,1,6
D0467,16,26.0,3.6,166,1007.0,0.04,100,75,29.5,9.0,1.0,11.1,4,6
D0474,17,22.0,16.9,200,1012.0,0.0,73,50,24.6,24.0,6.0,37.1,1,6
D0484,17,19.0,11.2,90,1013.0,0.0,88,100,19.0,24.0,5.0,14.0,1,2
D0500,19,25.0,6.1,310,1011.0,1.4,94,75,28.3,10.0,1.0,9.7,2,8
D0501,19,24.0,6.1,310,1014.0,1.4,94,25,26.8,8.0,1.0,6.1,1,3
D0505,19,22.0,3.6,256,1011.0,1.1,97,83,24.6,9.0,1.0,6.5,1,2
D0509,19,24.0,6.8,330,1012.0,0.0,94,25,26.9,8.0,1.0,6.8,1,6
D0516,19,25.0,3.6,10,1013.0,0.0,89,25,28.3,8.0,1.0,3.8,1,6
D0518,19,24.0,3.6,10,1013.0,0.0,94,25,26.6,8.0,1.0,8.3,1,3
D0525,20,13.0,9.0,170,1016.0,0.0,62,100,13.6,10.0,1.0,2.9,4,1
D0527,20,14.0,16.9,220,1020.0,0.2,72,75,14.4,10.0,1.0,6.5,5,6
D0529,20,12.0,6.1,320,1016.0,0.0,88,75,12.5,5.0,1.0,4.0,6,4
D0530,20,9.0,22.0,190,1019.0,0.0,87,100,8.7,6.0,1.0,5.4,3,5
D0534,20,13.0,3.6,230,1014.0,0.0,77,100,13.3,10.0,3.0,5.0,6,1
D0549,21,21.0,6.8,10,1010.0,0.2,94,0,21.0,10.0,4.0,9.4,4,0
D0554,21,25.0,3.6,89,1015.0,0.0,94,0,27.2,2.8,6.0,6.5,6,4
D0556,21,23.0,3.6,147,1015.0,0.0,100,0,25.1,2.8,6.0,2.9,6,4
D0557,21,24.0,4.0,80,1013.0,0.0,100,0,25.9,2.8,5.0,5.8,6,4
D0560,21,21.0,4.0,40,1008.0,0.0,100,75,21.0,2.5,5.0,2.5,5,4
D0572,21,15.0,4.0,20,1023.0,0.0,94,0,15.8,10.0,1.0,1.7,6,0
D0574,22,23.3,24.1,142,1019.0,0.2,82,76,25.3,10.0,1.0,28.1,1,2
D0581,22,23.0,6.1,100,1013.0,0.0,83,25,25.1,10.0,1.0,10.1,1,6
D0594,22,23.7,5.0,9,1015.0,0.0,77,19,25.6,10.0,1.0,6.6,1,0
D0596,22,24.4,6.5,67,1016.0,0.0,72,11,26.1,10.0,1.0,8.7,1,0
