day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index
D0001,0,27.0,6.1,210,1006.0,0.0,54,75,28.0,10.0,6.0,11.9,2
D0002,0,22.0,6.1,170,1006.0,0.0,73,75,24.5,10.0,1.0,23.4,1
D0005,0,18.0,3.6,92,1019.0,0.0,94,0,18.0,10.0,1.0,9.0,1
D0006,0,20.0,3.6,96,1019.0,0.0,88,0,20.0,10.0,1.0,11.2,1
D0008,0,21.0,20.2,330,1011.0,0.0,53,75,21.0,10.0,1.0,17.3,1
D0009,0,23.0,3.6,63,1013.0,0.0,47,75,24.8,10.0,1.0,20.5,1
D0010,0,24.0,15.1,330,1014.0,0.0,54,75,25.3,10.0,1.0,9.7,1
D0011,0,23.0,6.8,320,1014.0,0.0,57,0,24.8,10.0,1.0,18.7,1
D0012,0,19.0,3.6,79,1014.0,0.0,73,0,19.0,10.0,1.0,18.0,1
D0013,0,18.0,3.6,74,1015.0,0.0,83,0,18.0,10.0,1.0,14.4,1
D0014,0,17.0,3.6,75,1015.0,0.0,88,0,17.0,10.0,1.0,14.4,1
D0015,0,17.0,3.6,98,1014.0,0.0,94,0,17.0,10.0,1.0,9.7,1
D0016,0,17.0,6.1,140,1017.0,0.0,88,0,17.0,10.0,1.0,7.6,2
D0017,0,29.0,15.1,340,1016.0,0.0,45,50,27.9,10.0,7.0,8.3,2
D0018,0,19.0,3.6,86,1017.0,0.0,88,0,19.0,10.0,1.0,6.8,2
D0020,0,19.0,3.6,10,1018.0,0.0,94,100,19.0,10.0,1.0,5.4,2
D0021,0,18.0,3.6,75,1017.0,0.0,94,0,18.0,10.0,1.0,8.3,1
D0022,0,20.0,3.6,104,1016.0,0.0,83,0,20.0,10.0,1.0,12.1,2
D0023,0,20.0,6.8,70,1016.0,0.0,94,0,20.0,10.0,1.0,10.6,2
D0024,0,21.0,6.8,200,1016.0,0.0,83,75,21.0,10.0,1.0,10.6,2
D0025,0,20.0,6.1,140,1014.0,0.32,94,50,20.0,8.0,1.0,18.9,2
D0026,0,19.0,4.0,150,1015.0,0.0,78,0,19.0,10.0,1.0,16.6,3
D0027,1,28.0,13.0,240,1014.0,0.0,30,25,27.4,10.0,7.0,5.4,1
D0029,1,23.0,4.0,150,1014.0,0.0,78,25,25.0,10.0,1.0,17.6,1
D0030,1,22.0,6.8,200,1018.0,0.0,78,25,24.6,10.0,1.0,14.4,1
D0031,1,24.0,3.6,70,1013.0,0.0,83,0,25.7,10.0,1.0,12.6,1
D0032,1,27.0,16.9,90,1010.0,6.4,54,75,29.3,10.0,1.0,32.8,1
D0033,1,36.0,13.0,170,1010.0,0.0,29,50,37.9,3.5,1.0,47.9,4
D0034,1,26.0,16.9,280,1014.0,0.0,79,50,28.8,8.0,1.0,25.9,1
D0036,1,24.0,11.2,40,1017.0,0.0,78,25,25.6,10.0,1.0,16.6,1
D0037,1,23.0,9.0,60,1017.0,0.0,78,50,25.0,10.0,1.0,20.5,1
D0038,1,21.0,4.0,140,1017.0,0.0,78,25,21.0,10.0,1.0,22.7,1
D0039,1,23.0,6.1,240,1015.0,0.0,89,0,25.0,10.0,1.0,20.5,1
D0040,1,24.0,3.6,180,1014.0,0.0,78,25,25.7,10.0,1.0,3.6,1
D0041,1,25.0,6.8,340,1014.0,0.0,83,50,26.5,10.0,1.0,6.1,1
D0043,1,31.0,20.2,70,1014.0,0.0,59,50,36.7,10.0,7.0,25.2,1
D0044,1,27.0,9.0,320,1016.0,0.0,70,75,28.9,10.0,1.0,18.7,2
D0045,1,27.0,13.0,200,1011.0,0.0,54,75,27.3,7.0,1.0,20.9,1
D0046,1,37.0,31.0,180,1009.0,0.0,16,25,37.3,8.0,1.0,38.5,2
D0047,1,27.0,6.1,330,1017.0,0.0,66,75,28.8,10.0,1.0,9.0,1
D0048,1,26.0,9.0,30,1017.0,0.0,79,75,28.4,10.0,1.0,8.5,1
D0049,1,22.0,6.8,70,1019.0,0.0,94,75,24.5,10.0,1.0,21.8,1
D0050,1,22.0,3.6,10,1015.0,0.0,88,50,24.5,10.0,1.0,8.1,1
D0051,1,21.0,4.0,190,1012.0,0.0,78,0,21.0,10.0,1.0,10.8,1
D0052,1,22.0,6.8,240,1016.0,0.14,83,50,24.6,10.0,1.0,14.6,1
D0053,2,25.0,3.6,270,1016.0,0.0,69,75,26.9,10.0,6.0,5.8,4
D0054,2,21.0,11.2,140,1014.0,0.0,94,25,21.0,8.0,1.0,16.2,1
D0055,2,22.0,6.8,270,1015.0,0.1,88,75,24.5,8.0,1.0,18.0,1
